emailzooitje
"Aalst, R.R. van (PVV) <r.vaalst@tweedekamer.nl>"
"Aartsen, A.A.  (VVD) <t.aartsen@tweedekamer.nl>"
"Agema, M.  (PVV) <m.agema@tweedekamer.nl>"
"Alkaya, M.Ö.  (SP) <m.alkaya@tweedekamer.nl>"
"Amhaouch, M.  (CDA) <m.amhaouch@tweedekamer.nl>"
"Arib, K.  (PvdA) <k.arib@tweedekamer.nl>"
"Asscher, L.F.  (PvdA) <l.asscher@tweedekamer.nl>"
"Azarkan, F.  (DENK) <f.azarkan@tweedekamer.nl>"
"Azmani, M.  (VVD) <m.azmani@tweedekamer.nl>"
"Baudet, T.H.P.  (FvD) <t.baudet@tweedekamer.nl>"
"Becker, B.  (VVD) <b.becker@tweedekamer.nl>"
"Beckerman, S.M.  (SP) <s.beckerman@tweedekamer.nl>"
"Beertema, H.J.  (PVV) <h.beertema@tweedekamer.nl>"
"Belhaj, S.  (D66) <s.belhaj@tweedekamer.nl>"
"Berg, J.A.M.J. van den (CDA) <j.vdberg@tweedekamer.nl>"
"Bergkamp, V.A.  (D66) <v.bergkamp@tweedekamer.nl>"
"Bisschop, R.  (SGP) <r.bisschop@tweedekamer.nl>"
"Boer, M.G.W. den (D66) <m.dboer@tweedekamer.nl>"
"Bosch, A. van den (VVD) <a.vdbosch@tweedekamer.nl>"
"Bosma, M.  (PVV) <M.Bosma@tweedekamer.nl>"
"Bosman, A.  (VVD) <a.bosman@tweedekamer.nl>"
"Bouali, A.  (D66) <a.bouali@tweedekamer.nl>"
"Brenk, C.M. van (50PLUS) <c.vbrenk@tweedekamer.nl>"
"Bromet, L.  (GL) <l.bromet@tweedekamer.nl>"
"Bruins, E.E.W.  (CU) <e.bruins@tweedekamer.nl>"
"Bruins Slot, H.G.J.  (CDA) <h.bruinsslot@tweedekamer.nl>"
"Buitenweg, K.M.  (GL) <K.buitenweg@tweedekamer.nl>"
"Dam, C.J.L. van (CDA) <C.vDam@tweedekamer.nl>"
"Diertens, A.E.  (D66) <a.diertens@tweedekamer.nl>"
"Dijck, A.P.C. van (PVV) <t.vdijck@tweedekamer.nl>"
"Dijk, E. van (PVV) <GEEN EMAIL GEVONDEN>"
"Dijk, G.J. van (PvdA) <g.vdijk@tweedekamer.nl>"
"Dijk, J.J. van (SP) <jasper.vdijk@tweedekamer.nl>"
"Dijkhoff, K.H.D.M.  (VVD) <k.dijkhoff@tweedekamer.nl>"
"Dijkstra, P.A.  (D66) <p.dijkstra@tweedekamer.nl>"
"Dijkstra, R.J.  (VVD) <r.dijkstra@tweedekamer.nl>"
"Dik-Faber, R.K.  (CU) <c.dik@tweedekamer.nl>"
"Diks, L.I.  (GL) <i.diks@tweedekamer.nl>"
"Eijs, J.M. van (D66) <j.veijs@tweedekamer.nl>"
"El Yassini, Z.  (VVD) <z.elyassini@tweedekamer.nl>"
"Ellemeet, C.E.  (GL) <c.ellemeet@tweedekamer.nl>"
"Fritsma, S.R.  (PVV) <s.fritsma@tweedekamer.nl>"
"Futselaar, F.W.  (SP) <f.futselaar@tweedekamer.nl>"
"Geleijnse, S.  (50PLUS) <GEEN EMAIL GEVONDEN>"
"Geluk-Poortvliet, L.W.D.  (CDA) <l.geluk-poortvliet@tweedekamer.nl>"
"Gent, T. van (VVD) <t.vgent@tweedekamer.nl>"
"Gerven, H.P.J. van (SP) <h.vgerven@tweedekamer.nl>"
"Geurts, J.L.  (CDA) <j.geurts@tweedekamer.nl>"
"Graaf, M. de (PVV) <m.dgraaf@tweedekamer.nl>"
"Graaf, S.J.F. van der (CU) <s.vandergraaf@tweedekamer.nl>"
"Graus, D.J.G.  (PVV) <d.graus@tweedekamer.nl>"
"Groot, T.C. de (D66) <t.dgroot@tweedekamer.nl>"
"Groothuizen, M.  (D66) <m.groothuizen@tweedekamer.nl>"
"Haersma Buma, S. van (CDA) <S.Buma@tweedekamer.nl>"
"Haga, W.R. van (VVD) <w.vhaga@tweedekamer.nl>"
"Heerema, R.J.  (VVD) <r.heerema@tweedekamer.nl>"
"Heerma, P.E.  (CDA) <P.Heerma@tweedekamer.nl>"
"Helder, L.M.J.S.  (PVV) <l.helder@tweedekamer.nl>"
"Helvert, M.J.F. van (CDA) <m.vhelvert@tweedekamer.nl>"
"Hermans, S.T.M.  (VVD) <s.hermans@tweedekamer.nl>"
"Hiddema, T.U.  (FvD) <t.hiddema@tweedekamer.nl>"
"Hijink, H.P.M.  (SP) <m.hijink@tweedekamer.nl>"
"Hul, K.A.E. van den (PvdA) <k.vdhul@tweedekamer.nl>"
"Jetten, R.A.A.  (D66) <r.jetten@tweedekamer.nl>"
"Jong, L.W.E. de (PVV) <Leondejong@tweedekamer.nl>"
"Karabulut, S.  (SP) <skarabulut@sp.nl>"
"Kent, B. van (SP) <b.vkent@tweedekamer.nl>"
"Kerstens, J.W.M.  (PvdA) <j.kerstens@tweedekamer.nl>"
"Klaver, J.F.  (GL) <j.klaver@tweedekamer.nl>"
"Koerhuis, D.A.N.  (VVD) <d.koerhuis@tweedekamer.nl>"
"Koopmans, S.M.G.  (VVD) <s.koopmans@tweedekamer.nl>"
"Kooten-Arissen, F.M. van (PvdD) <femkemerelvankooten@tweedekamer.nl>"
"Kops, A.  (PVV) <a.kops@tweedekamer.nl>"
"Kröger, S.C.  (GL) <s.kroger@tweedekamer.nl>"
"Krol, H.C.M.  (50PLUS) <h.krol@tweedekamer.nl>"
"Kuik, A.  (CDA) <a.kuik@tweedekamer.nl>"
"Kuiken, A.H.  (PvdA) <a.kuiken@tweedekamer.nl>"
"Kuzu, T.  (DENK) <t.kuzu@tweedekamer.nl>"
"Kwint, J.P.  (SP) <p.kwint@tweedekamer.nl>"
"Laan-Geselschap, A.J.M.  (VVD) <a.laan@tweedekamer.nl>"
"Laçin, C.  (SP) <c.lacin@tweedekamer.nl>"
"Lange, L.A. de (VVD) <l.dlange@tweedekamer.nl>"
"Lee, T.M.T. van der (GL) <t.vdlee@tweedekamer.nl>"
"Leijten, R.M.  (SP) <r.leijten@tweedekamer.nl>"
"Linde, R.E. van der (VVD) <r.vdlinde@tweedekamer.nl>"
"Lodders, W.J.H.  (VVD) <h.lodders@tweedekamer.nl>"
"Madlener, B.  (PVV) <b.madlener@tweedekamer.nl>"
"Maeijer, V.  (PVV) <v.maeijer@tweedekamer.nl>"
"Marijnissen, L.M.C.  (SP) <lilianmarijnissen@sp.nl>"
"Markuszower, G.  (PVV) <g.markuszower@tweedekamer.nl>"
"Martels, M.R.H.M. von (CDA) <m.vmartels@tweedekamer.nl>"
"Meenen, P.H. van (D66) <p.vmeenen@tweedekamer.nl>"
"Middendorp, J.  (VVD) <secretariaat.middendorp@tweedekamer.nl>"
"Molen, H. van der (CDA) <h.vdmolen@tweedekamer.nl>"
"Moorlag, W.J.  (PvdA) <w.moorlag@tweedekamer.nl>"
"Mulder, A.  (VVD) <anne.mulder@tweedekamer.nl>"
"Mulder, A.H.  (CDA) <agnes.mulder@tweedekamer.nl>"
"Mulder, E.  (PVV) <edgar.mulder@tweedekamer.nl>"
"Nijboer, H.  (PvdA) <h.nijboer@tweedekamer.nl>"
"Nijkerken-de Haan, C.N.A.  (VVD) <C.Nijkerken@tweedekamer.nl>"
"Nispen, M. van (SP) <m.vnispen@tweedekamer.nl>"
"Ojik, A. van (GL) <a.vojik@tweedekamer.nl>"
"Omtzigt, P.H.  (CDA) <pieter.omtzigt@tweedekamer.nl>"
